isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 178 0
true false WEST SOUTH 177 10
true false SOUTH NORTH 177 10
true false NORTH WEST 176 20
true false WEST EAST 176 20
true false EAST NORTH 176 20
true false NORTH SOUTH 175 30
true false SOUTH WEST 175 30
true false WEST SOUTH 175 30
true false SOUTH SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST NORTH 175 30
true false NORTH WEST 175 30
true false WEST EAST 175 30
true false EAST SOUTH 175 30
true false SOUTH NORTH 175 30
true false NORTH WEST 175 30
true false WEST NORTH 175 30
true false NORTH EAST 175 30
true false EAST WEST 175 30
true false WEST EAST 175 30
true false EAST EAST 175 30
true false EAST EAST 175 30
true false EAST EAST 175 30
true false EAST SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST NORTH 175 30
true false NORTH WEST 175 30
true false WEST WEST 175 30
true false WEST NORTH 174 40
true false NORTH WEST 174 40
true false WEST SOUTH 173 50
true false SOUTH NORTH 173 50
true false NORTH WEST 173 50
true false WEST WEST 172 60
true false WEST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH SOUTH 170 80
true false SOUTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST NORTH 168 100
true false NORTH WEST 168 100
true false WEST EAST 168 100
true false EAST EAST 168 100
true false EAST WEST 167 110
true false WEST WEST 167 110
true false WEST WEST 167 110
true false WEST NORTH 167 110
true false NORTH WEST 167 110
true false WEST NORTH 167 110
true false NORTH EAST 167 110
true false EAST NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH EAST 167 110
true false EAST NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH EAST 167 110
true false EAST NORTH 167 110
true false NORTH EAST 167 110
true false EAST SOUTH 167 110
true false SOUTH NORTH 167 110
true false NORTH WEST 167 110
true false WEST WEST 167 110
true false WEST WEST 167 110
true false WEST WEST 167 110
true false WEST WEST 167 110
true false WEST NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH WEST 167 110
true false WEST SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH WEST 166 120
