isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 178 0
true false WEST SOUTH 177 10
true false SOUTH WEST 177 10
true false WEST SOUTH 176 20
true false SOUTH SOUTH 176 20
true false SOUTH WEST 176 20
true false WEST NORTH 175 30
true false NORTH NORTH 175 30
true false NORTH NORTH 175 30
true false NORTH SOUTH 175 30
true false SOUTH SOUTH 175 30
true false SOUTH WEST 175 30
true false WEST SOUTH 174 40
true false SOUTH EAST 173 50
true false EAST NORTH 173 50
true false NORTH SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST WEST 173 50
true false WEST EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST EAST 171 70
true false EAST WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH WEST 167 110
true false WEST SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH WEST 166 120
true false WEST NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH EAST 165 130
true false EAST NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST NORTH 163 150
true false NORTH NORTH 162 160
true false NORTH WEST 161 170
true false WEST SOUTH 161 170
true false SOUTH WEST 161 170
true false WEST NORTH 161 170
true false NORTH WEST 161 170
true false WEST EAST 161 170
true false EAST NORTH 160 180
true false NORTH NORTH 160 180
true false NORTH EAST 160 180
true false EAST WEST 159 190
true false WEST WEST 159 190
true false WEST SOUTH 159 190
true false SOUTH SOUTH 159 190
true false SOUTH WEST 159 190
true false WEST EAST 159 190
true false EAST WEST 159 190
true false WEST EAST 159 190
true false EAST EAST 159 190
true false EAST NORTH 158 200
true false NORTH WEST 158 200
true false WEST NORTH 158 200
true false NORTH NORTH 158 200
true false NORTH NORTH 158 200
true false NORTH WEST 158 200
true false WEST SOUTH 158 200
true false SOUTH WEST 158 200
true false WEST WEST 158 200
true false WEST EAST 158 200
true false EAST SOUTH 158 200
true false SOUTH SOUTH 158 200
true false SOUTH SOUTH 158 200
true false SOUTH SOUTH 158 200
true false SOUTH SOUTH 158 200
true false SOUTH EAST 158 200
true false EAST NORTH 158 200
true false NORTH SOUTH 158 200
true false SOUTH EAST 158 200
true false EAST SOUTH 157 210
true false SOUTH SOUTH 157 210
true false SOUTH WEST 157 210
true false WEST NORTH 157 210
true false NORTH WEST 157 210
