isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST EAST 178 0
true false EAST EAST 177 10
true false EAST SOUTH 176 20
true false SOUTH SOUTH 176 20
true false SOUTH SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST SOUTH 174 40
true false SOUTH NORTH 173 50
true false NORTH WEST 173 50
true false WEST EAST 173 50
true false EAST EAST 173 50
true false EAST NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH EAST 172 60
true false EAST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH SOUTH 170 80
true false SOUTH WEST 169 90
true false WEST EAST 169 90
true false EAST WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH WEST 168 100
true false WEST NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST EAST 168 100
true false EAST WEST 168 100
true false WEST EAST 168 100
true false EAST EAST 168 100
true false EAST NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST WEST 168 100
true false WEST EAST 168 100
true false EAST EAST 168 100
true false EAST WEST 168 100
true false WEST EAST 168 100
true false EAST EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST WEST 168 100
true false WEST WEST 168 100
true false WEST NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST EAST 168 100
true false EAST EAST 168 100
true false EAST SOUTH 167 110
true false SOUTH EAST 167 110
true false EAST NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH EAST 166 120
true false EAST EAST 165 130
true false EAST WEST 165 130
true false WEST NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST NORTH 165 130
true false NORTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST EAST 164 140
true false EAST EAST 164 140
true false EAST EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH EAST 164 140
true false EAST NORTH 164 140
true false NORTH EAST 163 150
true false EAST EAST 162 160
true false EAST WEST 161 170
true false WEST EAST 161 170
true false EAST NORTH 161 170
true false NORTH WEST 160 180
true false WEST EAST 160 180
true false EAST WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH EAST 160 180
true false EAST NORTH 160 180
true false NORTH EAST 160 180
true false EAST EAST 160 180
true false EAST NORTH 160 180
true false NORTH EAST 159 190
true false EAST NORTH 159 190
true false NORTH SOUTH 159 190
true false SOUTH EAST 159 190
true false EAST EAST 159 190
true false EAST NORTH 159 190
true false NORTH EAST 159 190
true false EAST WEST 159 190
true false WEST WEST 158 -2147483449
true false WEST EAST 157 208
true false EAST EAST 157 208
true false EAST WEST 157 208
true false WEST SOUTH 157 208
true false SOUTH SOUTH 157 208
true false SOUTH NORTH 157 208
true false NORTH EAST 157 208
true false EAST NORTH 157 208
true false NORTH SOUTH 157 208
true false SOUTH EAST 157 208
true false EAST NORTH 157 208
true false NORTH NORTH 157 208
true false NORTH WEST 157 208
true false WEST NORTH 157 208
true false NORTH EAST 157 208
true false EAST NORTH 157 208
true false NORTH EAST 157 208
true false EAST SOUTH 157 208
true false SOUTH WEST 157 208
true false WEST EAST 157 208
true false EAST SOUTH 157 208
true false SOUTH SOUTH 157 208
true false SOUTH WEST 157 208
true false WEST WEST 157 208
true false WEST EAST 157 208
true false EAST NORTH 157 208
true false NORTH NORTH 157 208
true false NORTH WEST 157 208
true false WEST WEST 157 208
true false WEST WEST 157 208
true false WEST EAST 157 208
true false EAST SOUTH 157 208
true false SOUTH EAST 157 208
true false EAST SOUTH 157 208
true false SOUTH SOUTH 157 208
true false SOUTH SOUTH 157 208
true false SOUTH EAST 157 208
true false EAST WEST 157 208
true false WEST WEST 157 208
true false WEST NORTH 157 208
true false NORTH NORTH 157 208
true false NORTH EAST 157 208
true false EAST WEST 157 208
true false WEST SOUTH 157 208
true false SOUTH WEST 157 208
true false WEST NORTH 157 208
true false NORTH SOUTH 157 208
true false SOUTH NORTH 157 208
true false NORTH NORTH 157 208
true false NORTH EAST 157 208
true false EAST NORTH 157 208
true false NORTH SOUTH 157 208
true false SOUTH NORTH 157 208
true false NORTH WEST 157 208
true false WEST WEST 157 208
true false WEST WEST 157 208
true false WEST WEST 157 208
true false WEST WEST 157 208
true false WEST EAST 157 208
true false EAST EAST 157 208
true false EAST EAST 157 208
true false EAST NORTH 157 208
true false NORTH EAST 157 208
true false EAST NORTH 157 208
true false NORTH WEST 157 208
true false WEST WEST 157 208
true false WEST WEST 157 208
true false WEST SOUTH 156 -2147483431
true false SOUTH EAST 156 -2147483431
