isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH NORTH 178 0
true false NORTH SOUTH 178 0
true false SOUTH WEST 178 0
true false WEST SOUTH 177 10
true false SOUTH EAST 177 10
true false EAST NORTH 177 10
true false NORTH WEST 177 10
true false WEST NORTH 177 10
true false NORTH SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST NORTH 176 20
true false NORTH NORTH 176 20
true false NORTH NORTH 176 20
true false NORTH NORTH 176 20
true false NORTH WEST 176 20
true false WEST SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST WEST 176 20
true false WEST EAST 176 20
true false EAST SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST NORTH 175 30
true false NORTH SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST WEST 173 50
true false WEST WEST 173 50
true false WEST WEST 173 50
true false WEST NORTH 173 50
true false NORTH SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH NORTH 173 50
true false NORTH WEST 173 50
true false WEST EAST 173 50
true false EAST NORTH 173 50
true false NORTH NORTH 172 60
true false NORTH EAST 172 60
true false EAST EAST 172 60
true false EAST WEST 172 60
true false WEST WEST 171 70
true false WEST NORTH 170 80
true false NORTH NORTH 170 80
true false NORTH WEST 170 80
true false WEST EAST 170 80
true false EAST NORTH 170 80
true false NORTH WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH SOUTH 170 80
true false SOUTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH WEST 169 90
true false WEST NORTH 169 90
true false NORTH WEST 169 90
true false WEST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH WEST 168 100
true false WEST NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST EAST 168 100
true false EAST EAST 168 100
true false EAST NORTH 168 100
true false NORTH WEST 168 100
true false WEST EAST 168 100
true false EAST WEST 168 100
true false WEST WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST WEST 168 100
true false WEST EAST 168 100
true false EAST NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST WEST 168 100
true false WEST WEST 168 100
true false WEST WEST 168 100
true false WEST EAST 167 110
true false EAST NORTH 167 110
true false NORTH EAST 167 110
true false EAST SOUTH 167 110
true false SOUTH NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH WEST 167 110
true false WEST SOUTH 167 110
true false SOUTH NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH EAST 167 110
true false EAST NORTH 167 110
true false NORTH WEST 167 110
true false WEST EAST 167 110
true false EAST WEST 167 110
true false WEST WEST 167 110
true false WEST SOUTH 166 120
true false SOUTH WEST 165 130
true false WEST EAST 165 130
true false EAST EAST 165 130
true false EAST WEST 165 130
true false WEST WEST 165 130
true false WEST NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST WEST 164 140
true false WEST EAST 164 140
true false EAST EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH NORTH 164 140
true false NORTH EAST 164 140
true false EAST EAST 164 140
true false EAST WEST 164 140
true false WEST NORTH 164 140
true false NORTH EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH EAST 163 150
true false EAST WEST 163 150
true false WEST WEST 163 150
true false WEST WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH EAST 162 160
true false EAST SOUTH 162 160
true false SOUTH WEST 162 160
true false WEST EAST 161 -2147483479
true false EAST EAST 161 -2147483479
true false EAST NORTH 161 -2147483479
true false NORTH SOUTH 161 -2147483479
true false SOUTH NORTH 161 -2147483479
true false NORTH NORTH 161 -2147483479
true false NORTH WEST 161 -2147483479
true false WEST SOUTH 161 -2147483479
true false SOUTH SOUTH 160 -2147483469
true false SOUTH SOUTH 159 -2147483459
true false SOUTH WEST 158 -2147483449
true false WEST SOUTH 158 -2147483449
true false SOUTH EAST 157 -2147483439
true false EAST SOUTH 157 -2147483439
true false SOUTH EAST 157 -2147483439
true false EAST NORTH 157 -2147483439
true false NORTH NORTH 157 -2147483439
true false NORTH SOUTH 157 -2147483439
true false SOUTH WEST 157 -2147483439
true false WEST SOUTH 157 -2147483439
true false SOUTH WEST 157 -2147483439
true false WEST SOUTH 156 218
true false SOUTH NORTH 156 218
true false NORTH SOUTH 156 218
true false SOUTH EAST 156 218
true false EAST WEST 156 218
true false WEST EAST 156 218
true false EAST EAST 156 218
true false EAST EAST 156 218
true false EAST NORTH 156 218
true false NORTH EAST 156 218
true false EAST SOUTH 156 218
true false SOUTH WEST 156 218
true false WEST WEST 156 218
true false WEST WEST 155 -2147483421
true false WEST SOUTH 154 236
true false SOUTH SOUTH 154 236
true false SOUTH EAST 154 236
true false EAST EAST 154 236
true false EAST EAST 154 236
true false EAST WEST 154 236
true false WEST WEST 154 236
true false WEST WEST 154 236
true false WEST EAST 154 236
true false EAST EAST 154 236
true false EAST EAST 154 236
true false EAST EAST 154 236
true false EAST NORTH 154 236
true false NORTH WEST 154 236
true false WEST WEST 154 236
true false WEST WEST 154 236
true false WEST SOUTH 154 236
true false SOUTH NORTH 154 236
true false NORTH SOUTH 154 236
true false SOUTH EAST 154 236
true false EAST NORTH 154 236
true false NORTH SOUTH 154 236
true false SOUTH WEST 154 236
true false WEST WEST 154 236
true false WEST EAST 154 236
true false EAST SOUTH 154 236
true false SOUTH EAST 154 236
true false EAST SOUTH 154 236
true false SOUTH WEST 154 236
true false WEST NORTH 154 236
true false NORTH EAST 154 236
true false EAST SOUTH 154 236
true false SOUTH EAST 154 236
true false EAST SOUTH 154 236
true false SOUTH SOUTH 154 236
true false SOUTH EAST 154 236
true false EAST SOUTH 154 236
true false SOUTH EAST 154 236
true false EAST NORTH 154 236
true false NORTH EAST 154 236
true false EAST SOUTH 154 236
true false SOUTH SOUTH 154 236
true false SOUTH NORTH 154 236
true false NORTH NORTH 154 236
true false NORTH WEST 154 236
true false WEST WEST 154 236
true false WEST EAST 154 236
true false EAST NORTH 153 246
true false NORTH WEST 153 246
true false WEST EAST 153 246
true false EAST EAST 153 246
true false EAST EAST 152 256
true false EAST NORTH 151 266
true false NORTH EAST 151 266
true false EAST SOUTH 150 251
true false SOUTH EAST 150 251
true false EAST NORTH 150 251
true false NORTH NORTH 150 251
true false NORTH EAST 150 251
true false EAST SOUTH 150 251
true false SOUTH SOUTH 150 251
true false SOUTH WEST 150 251
true false WEST SOUTH 150 251
true false SOUTH NORTH 150 251
true false NORTH SOUTH 150 251
true false SOUTH SOUTH 150 251
true false SOUTH SOUTH 150 251
true false SOUTH SOUTH 150 251
true false SOUTH SOUTH 150 251
true false SOUTH WEST 150 251
true false WEST SOUTH 150 251
true false SOUTH WEST 150 251
true false WEST NORTH 150 251
true false NORTH SOUTH 150 251
true false SOUTH SOUTH 149 236
true false SOUTH NORTH 148 221
true false NORTH SOUTH 148 221
true false SOUTH WEST 148 221
true false WEST SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST NORTH 147 206
true false NORTH NORTH 147 206
true false NORTH WEST 147 206
true false WEST EAST 147 206
true false EAST SOUTH 147 206
true false SOUTH NORTH 147 206
true false NORTH EAST 147 206
true false EAST WEST 146 191
true false WEST EAST 146 191
true false EAST EAST 146 191
true false EAST WEST 145 176
true false WEST SOUTH 145 176
true false SOUTH EAST 145 176
true false EAST EAST 145 176
true false EAST WEST 145 176
true false WEST NORTH 145 176
true false NORTH NORTH 145 176
true false NORTH WEST 145 176
true false WEST NORTH 145 176
true false NORTH SOUTH 145 176
true false SOUTH NORTH 145 176
true false NORTH NORTH 145 176
true false NORTH SOUTH 145 176
true false SOUTH SOUTH 145 176
true false SOUTH WEST 145 176
true false WEST EAST 145 176
true false EAST NORTH 145 176
true false NORTH NORTH 145 176
true false NORTH SOUTH 145 176
true false SOUTH WEST 145 176
true false WEST WEST 145 176
true false WEST EAST 145 176
true false EAST WEST 145 176
true false WEST WEST 145 176
true false WEST NORTH 145 176
true false NORTH NORTH 145 176
true false NORTH EAST 145 176
true false EAST EAST 145 176
